,0,1
106,Phentermine,0.1250422
107,Tramadol,0.13473618
108,Vidarabine,0.16614783
109,Betaxolol,0.13289487
110,Fluconazole,0.20226812
111,Oseltamivir,0.11707902
112,Erythromycin,0.20966995
113,Hydroxocobalamin,0.1574812
114,Caffeine,0.19868517
115,Sildenafil,0.19507825
116,Pyrimethamine,0.15866077
117,Reserpine,0.10993087
118,Azithromycin,0.172593
119,Ticlopidine,0.13736296
120,Trospium,0.13220203
121,Adapalene,0.05573368
122,Midodrine,0.12514806
123,Pantoprazole,0.1281929
124,Torasemide,0.17142665
125,Citalopram,0.18480325
126,Eletriptan,0.0943321
127,Moxifloxacin,0.16384494
128,Nelfinavir,0.13619626
129,Glimepiride,0.09502113
130,Diflorasone,0.1254431
131,Indinavir,0.05573368
132,Guanadrel,0.091584325
133,Lovastatin,0.18358612
134,Pregabalin,0.22136629
135,Temazepam,0.05573368
136,Methyclothiazide,0.13462329
137,Aminosalicylic Acid,0.14489639
138,Reboxetine,0.12079239
139,Milrinone,0.11074209
140,Butabarbital,0.1180588
141,Nevirapine,0.10672772
142,Oxiconazole,0.13621461
143,Alclometasone,0.117510796
144,Butalbital,0.10706973
145,Cladribine,0.05573368
146,Ranolazine,0.14216292
147,Mesalazine,0.17819345
148,Benzatropine,0.14523518
149,Ziprasidone,0.12440026
150,Cabergoline,0.05573368
151,Idoxuridine,0.10433388
152,Dapsone,0.13473558
153,Terconazole,0.116015196
154,Phenytoin,0.1740557
155,Medrysone,0.16150379
156,Doxycycline,0.23747516
157,Clotrimazole,0.16016114
158,Calcium Acetate,0.11993313
159,Sulfanilamide,0.13818192
160,Cycloserine,0.17933631
161,Anagrelide,0.05573368
162,Carmustine,0.19923759
163,Sulfisoxazole,0.16439068
164,Metoprolol,0.17557096
165,Crotamiton,0.12835395
166,Dicoumarol,0.12290084
167,Ropinirole,0.094062924
168,Isradipine,0.09942067
169,Topiramate,0.2184515
170,Cefmetazole,0.12573326
171,Olmesartan,0.09811926
172,Theophylline,0.17354214
173,Argatroban,0.11491251
174,Liothyronine,0.18804717
175,Disopyramide,0.1075567
176,Lidocaine,0.26256788
177,Pamidronate,0.13808322
178,Clemastine,0.11920071
179,Acarbose,0.11229634
180,Venlafaxine,0.1604482
181,Conjugated Estrogens,0.14742208
182,Travoprost,0.10786915
183,Amcinonide,0.12519574
184,Atomoxetine,0.20589805
185,Bleomycin,0.20923412
186,Chlorambucil,0.12614
187,Morphine,0.17154801
188,Bupivacaine,0.22644961
189,Penciclovir,0.124385715
190,Tenofovir,0.15347123
191,Tranexamic Acid,0.12677908
192,Ertapenem,0.18488288
193,Mitomycin,0.20052004
194,Talbutal,0.09989333
195,Bexarotene,0.14130628
196,Vindesine,0.12378013
197,Chlorthalidone,0.09958255
198,Pentobarbital,0.1401819
199,Valproic Acid,0.22424161
200,Capreomycin,0.11881149
201,Zolmitriptan,0.09629464
202,Acetaminophen,0.14503706
203,Gefitinib,0.20631671
204,Codeine,0.15497255
205,Piperacillin,0.1777842
206,Dihydroergotamine,0.14051473
207,Amitriptyline,0.17891419
208,Floxuridine,0.15404081
209,Tolcapone,0.109761834
210,Fluorometholone,0.15943193
211,Nitroprusside,0.15494347
212,Calcium Gluceptate,0.15161908
213,Hydromorphone,0.15460765
214,Indomethacin,0.19537628
215,Ethambutol,0.13129461
216,Metformin,0.23009694
217,Ipratropium bromide,0.15923095
218,Methadone,0.14010882
219,Olanzapine,0.13457215
220,Atenolol,0.12058866
221,Nitrofural,0.121506095
222,Omeprazole,0.20458591
223,Pyrazinamide,0.12716365
224,Metixene,0.09812462
225,Cetirizine,0.12276876
226,Diltiazem,0.15684819
227,Protriptyline,0.05573368
228,Alfuzosin,0.15213919
229,Trimethadione,0.14499807
230,Nitisinone,0.11888206
231,Clobazam,0.05573368
232,Minoxidil,0.1301105
233,Megestrol acetate,0.18797934
234,Tioguanine,0.05573368
235,Methylergometrine,0.105572104
236,Buclizine,0.11305392
237,Aztreonam,0.15763736
238,Chlorzoxazone,0.05573368
239,Aminoglutethimide,0.11466408
240,Mefloquine,0.15220737
241,Sulfadiazine,0.16063297
242,Sapropterin,0.1015321
243,Vinorelbine,0.05573368
244,Anidulafungin,0.16230178
245,Clozapine,0.1221087
246,Sucralfate,0.10944891
247,Doxylamine,0.12730098
248,Levonorgestrel,0.19301784
249,Norepinephrine,0.24201083
250,Mirtazapine,0.107795596
251,Meprobamate,0.088407636
252,Timolol,0.18859279
253,Treprostinil,0.19202495
254,Colestipol,0.11769581
255,Trihexyphenidyl,0.14449334
256,Palonosetron,0.1473707
257,Mexiletine,0.05573368
258,Amlodipine,0.17334616
259,Oxyphencyclimine,0.10154736
260,Triamterene,0.11156356
261,Valrubicin,0.11358082
262,Procyclidine,0.13004744
263,Phenylephrine,0.17416477
264,Carbimazole,0.14591825
265,Digoxin,0.12009084
266,Sulpiride,0.10475922
267,Nimodipine,0.14198911
268,Beclomethasone dipropionate,0.15746415
269,Carisoprodol,0.108481884
270,Progesterone,0.18961799
271,Phenylpropanolamine,0.131603
272,Sorafenib,0.24586213
273,Zoledronic acid,0.18617666
274,Griseofulvin,0.13877952
275,Nisoldipine,0.05573368
276,Eszopiclone,0.10222399
277,Alprazolam,0.15756726
278,Dexbrompheniramine,0.1217891
279,Gentian Violet,0.11169124
280,Loxapine,0.121795416
281,Mupirocin,0.10545945
282,Carbachol,0.09271717
283,Pramipexole,0.15802968
284,Ampicillin,0.19325852
285,Phenoxymethylpenicillin,0.14360511
286,Secobarbital,0.12631238
287,Miglustat,0.1361506
288,Promazine,0.18248594
289,Spironolactone,0.17941976
290,Methylphenidate,0.20410979
291,Methocarbamol,0.09771609
292,Hyoscyamine,0.14949334
293,Zolpidem,0.10300994
294,Famciclovir,0.16039479
295,Triprolidine,0.12040591
296,Carboprost Tromethamine,0.10742676
297,Lindane,0.13840365
298,Trifluridine,0.14477468
299,Prochlorperazine,0.12421906
300,Cyproheptadine,0.14148152
301,Nitric Oxide,0.22553039
302,Bendroflumethiazide,0.10097766
303,Allopurinol,0.21488965
304,Ceftazidime,0.14742994
305,Trimethoprim,0.15529943
306,Gemcitabine,0.2347902
307,Entecavir,0.10292733
308,Betamethasone,0.19953334
309,Teniposide,0.10344124
310,Epirubicin,0.11016202
311,Chloramphenicol,0.17967713
312,Lansoprazole,0.17241979
313,Dipivefrin,0.08768618
314,Levothyroxine,0.19584262
315,Pethidine,0.13064718
316,Loratadine,0.12569726
317,Cefalotin,0.13914585
318,Prazosin,0.0962199
319,Imipramine,0.13896978
320,Acitretin,0.10242653
321,Verteporfin,0.19326675
322,Nabumetone,0.1024704
323,Methylscopolamine bromide,0.14402008
324,Sodium Tetradecyl Sulfate,0.11385608
325,Ketorolac,0.12032461
326,Enoxacin,0.13698888
327,Quinine,0.09707463
328,Tenoxicam,0.1103673
329,Montelukast,0.13044071
330,Fluoxetine,0.17272007
331,Chlordiazepoxide,0.18977582
332,Duloxetine,0.19519055
333,Chlorpromazine,0.19221103
334,Rimantadine,0.11534953
335,Amikacin,0.20301104
336,Lenalidomide,0.16922593
337,Raloxifene,0.05573368
338,Celecoxib,0.18522477
339,Brimonidine,0.10124767
340,Dicloxacillin,0.11729753
341,Altretamine,0.10415411
342,Buspirone,0.12019086
343,Miglitol,0.05573368
344,Fosinopril,0.1126858
345,Cefotaxime,0.17060828
346,Entacapone,0.107982635
347,Zidovudine,0.13458514
348,Darifenacin,0.14303708
349,Oxycodone,0.13832104
350,Flutamide,0.1094507
351,Tolmetin,0.11561358
352,Cimetidine,0.17076218
353,Haloperidol,0.15783596
354,Ritonavir,0.1275835
355,Nitazoxanide,0.1700896
356,Triflupromazine,0.13249707
357,Dextrothyroxine,0.10280776
358,Vancomycin,0.20850408
359,Dextromethorphan,0.15219843
360,Cisplatin,0.2661873
361,Anisotropine Methylbromide,0.11068797
362,Albendazole,0.17287481
363,Trandolapril,0.10519469
364,Caspofungin,0.1670512
365,Carteolol,0.118873954
366,Metolazone,0.1154654
367,Tolnaftate,0.14612186
368,Oxaliplatin,0.17806697
369,Cinchocaine,0.11322093
370,Lercanidipine,0.108667135
371,Erlotinib,0.2338903
372,Cyclophosphamide,0.20448816
373,Cefdinir,0.13021874
374,Guanidine,0.05573368
375,Ciprofloxacin,0.2074405
376,Toremifene,0.11433339
377,Nortriptyline,0.11362076
378,Vincristine,0.21830142
379,Benazepril,0.12106097
380,Amoxapine,0.05573368
381,Fluorouracil,0.20544529
382,Pyridostigmine,0.120034695
383,Desoximetasone,0.133088
384,Azelaic Acid,0.10510993
385,Zafirlukast,0.05573368
386,Propylthiouracil,0.107167006
387,Acetohydroxamic Acid,0.09707141
388,Pentostatin,0.13481474
389,Methoxsalen,0.1224308
390,Piroxicam,0.10461891
391,Lamotrigine,0.142228
392,Hydroxyzine,0.10245144
393,Zanamivir,0.11050379
394,Bosentan,0.14410615
395,Tigecycline,0.15780103
396,Doxapram,0.11609256
397,Methotrexate,0.22354233
398,Carbamazepine,0.20671809
399,Succimer,0.105897665
400,Cephalexin,0.12671351
401,Cinnarizine,0.14220989
402,Fondaparinux sodium,0.15680957
403,Vinblastine,0.21014953
404,Propranolol,0.19574392
405,Fenoprofen,0.10937858
406,Clonidine,0.19032478
407,Sulfamethizole,0.12439656
408,Valaciclovir,0.17290115
409,Carbenicillin,0.1284604
410,Mazindol,0.05573368
411,Lactulose,0.09187031
412,Voriconazole,0.17332518
413,L-Carnitine,0.15260875
414,Enalapril,0.15570688
415,Nizatidine,0.1458919
416,Diclofenac,0.18348551
417,Fluticasone Propionate,0.16338181
418,Lisuride,0.13742185
419,Doxazosin,0.11469877
420,Fluocinolone Acetonide,0.15657985
421,Piperazine,0.1563257
422,Ethosuximide,0.05573368
423,Amiloride,0.11369538
424,Oxytetracycline,0.18130863
425,Ulobetasol,0.118395805
426,Labetalol,0.13144553
427,Thiopental,0.12510228
428,Linezolid,0.15273213
429,Ivermectin,0.14249492
430,Medroxyprogesterone acetate,0.17480612
431,Cisapride,0.05573368
432,Sulindac,0.18337929
433,Nafcillin,0.15627742
434,Chloroquine,0.15971243
435,Ethionamide,0.13330555
436,Butorphanol,0.112255216
437,Bisoprolol,0.10757601
438,Rifabutin,0.11372864
439,Paramethadione,0.107082605
440,Demeclocycline,0.17384028
441,Imatinib,0.26315773
442,Triamcinolone,0.20268309
443,Nicardipine,0.13273776
444,Fluphenazine,0.11892903
445,Testosterone,0.18982077
446,Efavirenz,0.11863518
447,Bacitracin,0.14416754
448,Niacin,0.15694559
449,Clorazepate,0.13407683
450,Guanabenz,0.10216212
451,Alendronic acid,0.19472837
452,Clofarabine,0.1690551
453,Docosanol,0.05573368
454,Sulfacetamide,0.19422185
455,Prednisone,0.23585677
456,Clofibrate,0.09957397
457,Astemizole,0.123880744
458,Butoconazole,0.10748243
459,Adenosine,0.1287942
460,Simvastatin,0.22289097
461,Pemetrexed,0.20518875
462,Mebendazole,0.11625147
463,Gonadorelin,0.11937213
464,Dyclonine,0.13554275
465,Nystatin,0.16641426
466,Dextropropoxyphene,0.09517872
467,Mitotane,0.10137999
468,Stavudine,0.09990752
469,Leucovorin,0.15598452
470,Dyphylline,0.1705705
471,Pentazocine,0.11464119
472,Magnesium Sulfate,0.20927691
473,Latanoprost,0.14735043
474,Estrone,0.14835477
475,Trazodone,0.10939014
476,Mecamylamine,0.05573368
477,Acamprosate,0.1188339
478,Metaxalone,0.1031003
479,Verapamil,0.16432226
480,Trimethobenzamide,0.10468912
481,Flumethasone,0.123547554
482,Nilutamide,0.10640931
483,Nafarelin,0.105044246
484,Histamine Phosphate,0.09440887
485,Epinephrine,0.21271038
486,Sumatriptan,0.10109818
487,Pirenzepine,0.10213506
488,Cefixime,0.15886867
489,Chlorpropamide,0.0991019
490,Aprepitant,0.14191401
491,Galantamine,0.14811313
492,Tamoxifen,0.19088626
493,Losartan,0.15637887
494,Thioridazine,0.11045563
495,Moricizine,0.10696232
496,Amphotericin B,0.25756776
497,Warfarin,0.1855551
498,Midazolam,0.16653001
499,Tobramycin,0.18145955
500,Trovafloxacin,0.15625
501,Pentosan Polysulfate,0.13197482
502,Fludrocortisone,0.12671149
503,Flurazepam,0.1048305
504,Moexipril,0.09133077
505,Phentolamine,0.17086828
506,Daunorubicin,0.16553974
507,Furosemide,0.13288784
508,Ergotamine,0.113047004
509,Tizanidine,0.11711764
510,Nitrofurantoin,0.12018621
511,Eplerenone,0.114812374
512,Amprenavir,0.101634264
513,Methazolamide,0.13611758
514,Naltrexone,0.16839063
515,Delavirdine,0.09874523
516,Tamsulosin,0.13298929
517,Porfimer,0.13142574
518,Sufentanil,0.1075331
519,Lamivudine,0.14418328
520,Ibandronate,0.15165937
521,Diethylcarbamazine,0.18223989
522,Flurbiprofen,0.09697056
523,Oxacillin,0.15071106
524,Apomorphine,0.105216384
525,Paroxetine,0.21287358
526,Nedocromil,0.13676667
527,Norethisterone,0.1810782
528,Adefovir Dipivoxil,0.10233605
529,Azatadine,0.120461345
530,Lisinopril,0.1384294
531,Methoxamine,0.1004889
532,Imiquimod,0.19666529
533,Homatropine Methylbromide,0.13247085
534,Trimipramine,0.05573368
535,Nitroglycerin,0.1171515
536,Thiabendazole,0.17856145
537,Nateglinide,0.09795368
538,Pralidoxime,0.11645758
539,Risperidone,0.14851117
540,Naftifine,0.11183536
541,Esomeprazole,0.17213476
542,Meclizine,0.13476443
543,Pentamidine,0.05573368
544,Riluzole,0.107990146
545,Hydrocortisone,0.21097195
546,Mannitol,0.19808245
547,Zileuton,0.11390746
548,Modafinil,0.18142056
549,Deferoxamine,0.16428077
550,Scopolamine,0.19895375
551,Carbinoxamine,0.12623513
552,Etodolac,0.12172556
553,Prilocaine,0.1208055
554,Epinastine,0.09963429
555,Tranylcypromine,0.09404659
556,Ethotoin,0.12510264
557,Tretinoin,0.19052398
558,Dolasetron,0.116226315
559,Clopidogrel,0.17839992
560,Tetracycline,0.19556129
561,Meropenem,0.14288557
562,Potassium Chloride,0.13065457
563,Irinotecan,0.19458306
564,Methimazole,0.11259377
565,Mometasone,0.15730345
566,Metyrosine,0.09401631
567,Clavulanate,0.15735233
568,Olopatadine,0.10082281
569,Alprostadil,0.17361689
570,Clidinium,0.111947775
571,Malathion,0.10470557
572,Etoposide,0.215716
573,Hydroflumethiazide,0.12595129
574,Tirofiban,0.13364089
575,Oxcarbazepine,0.13974893
576,Phenelzine,0.114510655
577,Polymyxin B Sulfate,0.15361464
578,Propantheline,0.10778606
579,Estradiol,0.20706367
580,Mefenamic acid,0.117803216
581,Aciclovir,0.20786583
582,Naproxen,0.17889428
583,Perindopril,0.10017526
584,Uracil mustard,0.1428467
585,Tripelennamine,0.101438046
586,Haloprogin,0.10401118
587,Primidone,0.16040051
588,Sulfasalazine,0.11638796
589,Candesartan,0.10344076
590,Tolazoline,0.16559899
591,Gentamicin,0.19984317
592,Tazarotene,0.104717255
593,Fenoldopam,0.10898924
594,Halazepam,0.05573368
595,Colistin,0.14470756
596,Dicyclomine,0.05573368
597,Pentoxifylline,0.12519443
598,Indapamide,0.05573368
599,Tropicamide,0.09890461
600,Biperiden,0.13723195
601,Ribavirin,0.13932157
602,Fentanyl,0.16298807
603,Meloxicam,0.10004401
604,Orciprenaline,0.13848495
605,Acetazolamide,0.21581316
606,Tadalafil,0.14067185
607,Disulfiram,0.12211013
608,Menthol,0.15476787
609,Natamycin,0.12044263
610,Cinoxacin,0.10825908
611,Fosfomycin,0.1201725
612,Diazepam,0.15057886
613,Phenmetrazine,0.11414969
614,Trifluoperazine,0.10338318
615,Phensuximide,0.05573368
616,Cefaclor,0.1357286
617,Mifepristone,0.14360964
618,Brompheniramine,0.10864127
619,Loperamide,0.13148403
620,Clocortolone,0.1211071
621,Tolazamide,0.1100173
622,Dobutamine,0.14204669
623,Oxazepam,0.12813437
624,Donepezil,0.15160489
625,Nalbuphine,0.10932481
626,Clofazimine,0.15116823
627,Flurandrenolide,0.11179733
628,Cysteamine,0.10976446
629,Methylphenobarbital,0.13911116
630,Perphenazine,0.14478469
631,Dacarbazine,0.1813544
632,Pseudoephedrine,0.1329161
633,Temozolomide,0.21708953
634,Levorphanol,0.05573368
635,Aminolevulinic acid,0.19444203
636,Chlorphenesin,0.10098195
637,Terbinafine,0.1623677
638,Drostanolone,0.17750835
639,Penicillamine,0.16263247
640,Prednisolone,0.24884272
641,Diflunisal,0.122558236
642,Vardenafil,0.13687515
643,Ranitidine,0.13760304
644,Tacrolimus,0.19508111
645,Benzphetamine,0.115879774
646,Ritodrine,0.11262822
647,Benzonatate,0.05573368
648,Dorzolamide,0.09632206
649,Terbutaline,0.15083885
650,Conivaptan,0.05573368
651,Loteprednol,0.19600296
652,Guaifenesin,0.1319524
653,Flupentixol,0.104587555
654,Eprosartan,0.08954728
655,Sirolimus,0.22834122
656,Chlorhexidine,0.13143897
657,Emtricitabine,0.12312317
658,Chlorothiazide,0.1357075
659,Quinapril,0.095689535
660,Clomifene,0.14009607
661,Isosorbide Dinitrate,0.116315246
662,Risedronate,0.11693144
663,Pemirolast,0.123912215
664,Bumetanide,0.1283133
665,Mechlorethamine,0.19493365
666,Granisetron,0.1475966
667,Dienestrol,0.16201425
668,Sulfapyridine,0.05573368
669,Testolactone,0.10429704
670,Rimexolone,0.10438323
671,Triazolam,0.0963912
672,Remifentanil,0.05573368
673,Didanosine,0.108899236
674,Methdilazine,0.1394819
675,Etacrynic acid,0.10488403
676,Ondansetron,0.17879224
677,Bimatoprost,0.13645506
678,Tiagabine,0.12066972
679,Quinidine,0.11255658
680,Tinidazole,0.15491092
681,Repaglinide,0.09478998
682,Amantadine,0.13051105
683,Metronidazole,0.2664349
684,Dinoprostone,0.12727726
685,Almotriptan,0.05573368
686,Spectinomycin,0.13906229
687,Ketotifen,0.10311091
688,Buprenorphine,0.19640303
689,Levosimendan,0.113279104
690,Cyclobenzaprine,0.14695406
691,Phenoxybenzamine,0.11052859
692,Famotidine,0.14193475
693,Misoprostol,0.13931763
694,Colesevelam,0.05573368
695,Methacycline,0.11311507
696,Tipranavir,0.10967183
697,Mesoridazine,0.10238671
698,Maprotiline,0.13076484
699,Oxymetazoline,0.14332306
700,Salicylic acid,0.24771214
701,Diethylpropion,0.10320413
702,Salmeterol,0.15156972
703,Meclofenamic acid,0.13034832
704,Methantheline,0.13409376
705,Cycrimine,0.105050445
706,Zalcitabine,0.09841275
707,Acetylsalicylic acid,0.20238912
708,Phenprocoumon,0.14788377
709,Mezlocillin,0.14389753
710,Felbamate,0.11618793
711,Fexofenadine,0.10263622
712,Isoniazid,0.14767802
713,Naratriptan,0.12073016
714,Rizatriptan,0.10117376
715,Dirithromycin,0.13743377
716,Hydrocodone,0.13579607
717,Norgestimate,0.15731764
718,Carboplatin,0.20785713
719,Methylprednisolone,0.21948516
720,Pindolol,0.094723344
721,Zaleplon,0.16275907
722,Bromfenac,0.09646571
723,Apraclonidine,0.09616959
724,Telmisartan,0.1115973
725,Desloratadine,0.12811804
726,Methyldopa,0.09434605
727,Alosetron,0.117946744
728,Dactinomycin,0.18924797
729,Selenium Sulfide,0.10987651
730,Azelastine,0.10896146
731,Ezetimibe,0.16912997
732,Edetic Acid,0.16437852
733,Dipyridamole,0.11612272
734,Telithromycin,0.12919807
735,Ethinyl Estradiol,0.13475633
736,Lomefloxacin,0.1411351
737,Cyclopentolate,0.12695765
738,Ramelteon,0.05573368
739,Physostigmine,0.10781562
740,Isotretinoin,0.20009029
741,Formoterol,0.15038943
742,Dimenhydrinate,0.17043817
743,Glycopyrronium,0.13724637
744,Cytarabine,0.21629632
745,Dopamine,0.18369448
746,Rivastigmine,0.1481446
747,Oxaprozin,0.10175729
748,Azathioprine,0.13180995
749,Neomycin,0.19132459
750,Auranofin,0.13061011
751,Gabapentin,0.13549292
752,Doxorubicin,0.25792778
753,Frovatriptan,0.100345254
754,Hydrochlorothiazide,0.16346192
755,Cyclacillin,0.1201601
756,Salbutamol,0.16287744
757,Cromoglicic acid,0.18045294
758,Ganciclovir,0.16700947
759,Hydroxyurea,0.20925236
760,Tioconazole,0.105900645
761,Busulfan,0.18442953
762,Ketoprofen,0.14703834
763,Clobetasol propionate,0.15451908
764,Balsalazide,0.109071374
765,Sulfamethoxazole,0.1849699
766,Glyburide,0.095505476
767,Minocycline,0.22271585
768,Guanfacine,0.13135028
769,Bethanechol,0.113169074
770,Isosorbide Mononitrate,0.103441715
771,Trichlormethiazide,0.086672306
772,Phylloquinone,0.1586945
773,Felodipine,0.05573368
774,Amlexanox,0.10997343
775,Ketoconazole,0.23906064
776,Irbesartan,0.11948824
777,Topotecan,0.15763605
778,Ethinamate,0.10874736
779,Probenecid,0.18543744
780,Mercaptopurine,0.1090554
781,Tolterodine,0.17638874
782,Selegiline,0.12221944
783,Fenofibrate,0.14837193
784,Thalidomide,0.18568385
785,Melphalan,0.17717767
786,Gatifloxacin,0.15229225
787,Rifampicin,0.15030742
788,Lubiprostone,0.10322535
789,Fluocinonide,0.12257111
790,Abacavir,0.090895295
791,Ergoloid mesylate,0.11880994
792,Ibuprofen,0.18228567
793,Benzylpenicillin,0.26620162
794,Tocainide,0.05573368
795,Echothiophate,0.14321256
796,Praziquantel,0.14526224
797,Norfloxacin,0.19616604
798,Amoxicillin,0.1826824
799,Azlocillin,0.14538944
800,Oxybutynin,0.14686477
801,Acetophenazine,0.05573368
802,Isoprenaline,0.16790915
803,Melatonin,0.14476144
804,Cefditoren,0.12876046
805,Glipizide,0.09787321
806,Clonazepam,0.1560787
807,Promethazine,0.16915989
808,Dihydrotachysterol,0.16759849
809,Atazanavir,0.05573368
810,Diphenhydramine,0.13815367
811,Atorvastatin,0.22071719
812,Etidronic acid,0.14172089
813,Vigabatrin,0.14102733
814,Diphenoxylate,0.05573368
815,Streptomycin,0.19138241
816,Orlistat,0.117643714
817,Emedastine,0.10858655
818,Pilocarpine,0.14860463
819,Benzocaine,0.18146467
820,Primaquine,0.10519171
821,Iloprost,0.1668334
822,Butenafine,0.13312387
823,Dimethyl sulfoxide,0.05573368
824,Fluvastatin,0.12020385
825,Oxamniquine,0.10735154
826,Leflunomide,0.13373184
827,Rosuvastatin,0.20369613
828,Pimozide,0.11296892
829,Capecitabine,0.15160096
830,Quinacrine,0.114379644
831,Sertraline,0.1947428
832,Sibutramine,0.05573368
833,Levocabastine,0.10302138
834,Methyprylon,0.098677754
835,Trilostane,0.10004628
836,Heparin,0.25044417
837,Miconazole,0.17280686
838,Colistimethate,0.14488983
839,Cefuroxime,0.16637278
840,Papaverine,0.107239485
841,Chlorphenamine,0.11682391
842,Nifedipine,0.15700734
843,Trimethaphan,0.14549303
844,Atovaquone,0.10802019
845,Amiodarone,0.05573368
846,Diazoxide,0.17955005
847,Gliclazide,0.09551394
848,Phenacemide,0.12270999
849,Ambenonium,0.10083103
850,Tolbutamide,0.12175059
851,Dutasteride,0.11689818
852,Econazole,0.1256913
853,Bicalutamide,0.13907588
854,Rabeprazole,0.1566695
855,Prednicarbate,0.120390296
856,Proguanil,0.09075248
857,Pioglitazone,0.15439701
858,Tiludronate,0.1070447
859,Carvedilol,0.13509917
860,Levofloxacin,0.17146671
861,Sulfinpyrazone,0.10371792
862,Cefapirin,0.13636303
863,Cefadroxil,0.13174808
864,Micafungin,0.17300642
865,Doxepin,0.18659353
866,Diclofenamide,0.14859319
867,Diphenylpyraline,0.11654377
868,Cloxacillin,0.12677264
869,Flavoxate,0.18299937
870,Nefazodone,0.10797632
871,Cefprozil,0.12991142
872,Desipramine,0.10288119
873,Sertaconazole,0.05573368
874,Gemifloxacin,0.13758147
875,Bupropion,0.19176531
876,Bretylium,0.12681222
877,Dinoprost Tromethamine,0.1375997
878,Terazosin,0.12138188
879,Calcium Chloride,0.17394805
880,Ofloxacin,0.2370429
881,Cilostazol,0.11488044
882,Itraconazole,0.18196607
883,Procarbazine,0.110295296
884,Arsenic trioxide,0.18010056
885,Guanethidine,0.09563196
886,Moclobemide,0.11342001
887,Kanamycin,0.13323593
888,Orphenadrine,0.05573368
889,Phenobarbital,0.17303848
890,Escitalopram,0.12788665
891,Cyclizine,0.13355494
892,Idarubicin,0.18367136
893,Chlormezanone,0.10009539
894,Podofilox,0.10177374
895,Ifosfamide,0.23205328
896,Propafenone,0.1393373
897,Naloxone,0.16365814
898,Domperidone,0.11206508
899,Fluoxymesterone,0.18001318
900,Pergolide,0.097955346
901,Ciclopirox,0.158396
